code,name,credits,meta
EC3401,Networks and Security,4,21$EC$4
EC3451,Linear Integrated Circuits,3,21$EC$4
EC3492,Digital Signal Processing,4,21$EC$4
EC3491,Communication Systems,3,21$EC$4
EC3461,Communication Systems Laboratory,1.5,21$EC$4
EC3462,Linear Integrated Circuits Laboratory,1.5,21$EC$4
EE3401,Transmission and Distribution,3,21$EE$4
EE3402,Linear Integrated Circuits,3,21$EE$4
EE3403,Measurements and Instrumentation,3,21$EE$4
EE3404,Microprocessor and Microcontroller,3,21$EE$4
EE3405,Electrical Machines - II,3,21$EE$4
EE3411,Electrical Machines Laboratory - II,1.5,21$EE$4
EE3412,Linear and Digital Circuits Laboratory,1.5,21$EE$4
EE3413,Microprocessor and Microcontroller Laboratory,1.5,21$EE$4
ME3491,Theory of Machines,3,21$ME$4
ME3451,Thermal Engineering,4,21$ME$4
ME3492,Hydraulics and Pneumatics,3,21$ME$4
ME3493,Manufacturing Technology,3,21$ME$4
ME3461,Thermal Engineering Laboratory,2,21$ME$4
CE3491,Strength of Materials,3,21$ME$4
CE3481,Strength of Materials and Fluid Machinery Laboratory,2,21$ME$4
CE3401,Applied Hydraulics Engineering,4,21$CE$4
CE3402,Strength of Materials,3,21$CE$4
CE3403,Concrete Technology,3,21$CE$4
CE3404,Soil Mechanics,3,21$CE$4
CE3405,Highway and Railway Engineering,3,21$CE$4
CE3411,Hydraulic Engineering Laboratory,1.5,21$CE$4
CE3412,Materials Testing Laboratory,2,21$CE$4
CE3413,Soil Mechanics Laboratory,1.5,21$CE$4
CW3401,Introduction to Business Systems,3,21$CB$4
CW3411,Business Communication Laboratory II,1.5,21$CB$4
GE3451,Environmental Sciences and Sustainability,2,21$CS^AM^IT^AD^EC^EE^ME^CE^CB$4


CS3591,Computer Networks,4,21$CS^IT$5
CS3501,Compiler Design,4,21$CS$5
CB3491,Cryptography and Cyber Security,3,21$CS^AM$5
CS3551,Distributed Computing,3,21$CS^AM^IT^AD$5
AL3501,Natural Language Processing,4,21$AM$5
AL3502,Deep Learning for Vision,4,21$AM$5
IT3501,Full Stack Web Development,3,21$IT$5
IT3511,Full Stack Web Development Laboratory,2,21$IT$5
CS3691,Embedded Systems and IoT,4,21$IT^CB$5
AD3501,Deep Learning,3,21$AD$5
CW3551,Data and Information Security,3,21$AD^CB$5
CCS334,Big Data Analytics,3,21$AD$5
AD3511,Deep Learning Laboratory,2,21$AD$5
CW3501,Fundamentals of Management,3,21$CB$5
CW3511,Summer Internship,2,21$CB^AD^ME^CE$5
EC3501,Wireless Communication,4,21$EC$5
EC3552,VLSI and Chip Design,3,21$EC$5
EC3551,Transmission Lines and RF Systems,3,21$EC$5
EC3561,VLSI Laboratory,2,21$EC$5
EE3501,Power System Analysis,3,21$EE$5
EE3591,Power Electronics,3,21$EE$5
EE3503,Control Systems,3,21$EE$5
EE3511,Power Electronics Laboratory,1.5,21$EE$5
EE3512,Control and Instrumentation Laboratory,2,21$EE$5
ME3591,Design of Machine Elements,4,21$ME$5
ME3592,Metrology and Measurements,3,21$ME$5
ME3581,Metrology and Dynamics Laboratory,2,21$ME$5
CE3501,Design of Reinforced Concrete Structural Elements,3,21$CE$5
CE3502,Structural Analysis I,3,21$CE$5
CE3503,Foundation Engineering,3,21$CE$5
CE3511,Highway Engineering Laboratory,2,21$CE$5
CE3512,Survey Camp (2 weeks),1,21$CE$5


CCS356,Object Oriented Software Engineering,4,21$CS^AM^IT$6
CS3691,Embedded Systems and IoT,4,21$CS^AM^AD$6
ET3491,Embedded Systems and IOT Design,4,21$EC$6
CS3491,Artificial Intelligence and Machine Learning,4,21$EC$6
IT3681,Mobile Applications Development Laboratory,1.5,21$IT$6
EE3601,Protection and Switchgear,3,21$EE$6
EE3602,Power System Operation and Control,3,21$EE$6
EE3611,Power System Laboratory,1.5,21$EE$6
ME3691,Heat and Mass Transfer,4,21$ME$6
ME3681,CAD CAM Laboratory,2,21$ME$6
ME3682,Heat Transfer Laboratory,2,21$ME$6
CE3601,Design of Steel Structural Elements,3,21$CE$6
CE3602,Structural Analysis II,3,21$CE$6
AG3601,Engineering Geology,3,21$CE$6
CE3611,Building Drawing and Detailing Laboratory,2,21$CE$6
CW3601,Business Analytics,3,21$CB$6
CW3611,Business Analytics Laboratory,2,21$CB$6


EE3701,High Voltage Engineering,3,21$EE$7^8
ME3791,Mechatronics and IoT,3,21$ME$7^8
ME3792,Computer Integrated Manufacturing,3,21$ME$7^8
GE3792,Industrial Management,3,21$ME$7^8
ME3781,Mechatronics and IoT Laboratory,2,21$ME$7^8
CE3701,Estimation, Costing and Valuation Engineering,3,21$CE$7^8
AI3404,Hydrology and Water Resources Engineering,3,21$CE$7^8
GE3752,Total Quality Management,3,21$CE$7^8
GE3791,Human Values and Ethics,2,21$CB^CS^AM^IT^AD^EC^EE^ME^CE$7^8

CS3711,Summer internship,2,21$CS$7^8
AL3711,Summer internship,2,21$AM$7^8
IT3711,Summer internship,2,21$IT$7^8
EC3711,Summer internship,2,21$EC$7^8
ME3711,Summer internship,2,21$ME$7^8

CW3811,Project Work / Internship,10,21$CB$7^8
CS3811,Project Work / Internship,10,21$CS$7^8
AL3811,Project Work / Internship,10,21$AM$7^8
IT3811,Project Work / Internship,10,21$IT$7^8
AD3811,Project Work / Internship,10,21$AD$7^8
EC3811,Project Work / Internship,10,21$EC$7^8
EE3811,Project Work / Internship,10,21$EE$7^8
ME3811,Project Work / Internship,10,21$ME$7^8
CE3811,Project Work / Internship,10,21$CE$7^8


